0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:50:40 +0900] "POST /AFO1/writeAction_webtoon.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:50:40 +0900] "GET /AFO1/bbs_webtoon.jsp HTTP/1.1" 200 9215
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:52:13 +0900] "GET /AFO1/view.jsp?bbsID=54 HTTP/1.1" 200 8258
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:52:22 +0900] "POST /AFO1/submitAction.jsp?bbsID=54 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:52:22 +0900] "GET /AFO1/view.jsp?bbsID=54 HTTP/1.1" 200 9345
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:52:26 +0900] "GET /AFO1/view.jsp?bbsID=53 HTTP/1.1" 200 9425
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:52:33 +0900] "POST /AFO1/submitAction.jsp?bbsID=53 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:52:34 +0900] "GET /AFO1/view.jsp?bbsID=53 HTTP/1.1" 200 10519
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:52:37 +0900] "GET /AFO1/bbs_webtoon.jsp HTTP/1.1" 200 9215
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:52:39 +0900] "GET /AFO1/logoutAction.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:52:40 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 5796
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:52:41 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:52:44 +0900] "POST /AFO1/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:52:44 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 6049
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:52:45 +0900] "GET /AFO1/bbs_collection.jsp HTTP/1.1" 200 5271
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:52:47 +0900] "GET /AFO1/bbs_webtoon.jsp HTTP/1.1" 200 9215
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:52:54 +0900] "GET /AFO1/write_webtoon.jsp HTTP/1.1" 200 6028
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:52:54 +0900] "GET /AFO1/css/bootstrap.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:52:59 +0900] "POST /AFO1/writeAction_webtoon.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:52:59 +0900] "GET /AFO1/bbs_webtoon.jsp HTTP/1.1" 200 9900
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:53:13 +0900] "GET /AFO1/view.jsp?bbsID=53 HTTP/1.1" 200 10520
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:53:22 +0900] "POST /AFO1/submitAction.jsp?bbsID=53 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:53:22 +0900] "GET /AFO1/view.jsp?bbsID=53 HTTP/1.1" 200 11609
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:53:25 +0900] "GET /AFO1/view.jsp?bbsID=54 HTTP/1.1" 200 9346
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:53:30 +0900] "POST /AFO1/submitAction.jsp?bbsID=54 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:53:31 +0900] "GET /AFO1/view.jsp?bbsID=54 HTTP/1.1" 200 10412
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:53:34 +0900] "GET /AFO1/view.jsp?bbsID=55 HTTP/1.1" 200 8273
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:53:39 +0900] "POST /AFO1/submitAction.jsp?bbsID=55 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:53:39 +0900] "GET /AFO1/view.jsp?bbsID=55 HTTP/1.1" 200 9356
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:53:45 +0900] "GET /AFO1/view.jsp?bbsID=56 HTTP/1.1" 200 8177
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:53:47 +0900] "POST /AFO1/submitAction.jsp?bbsID=56 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:53:47 +0900] "GET /AFO1/view.jsp?bbsID=56 HTTP/1.1" 200 9243
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:53:51 +0900] "GET /AFO1/logoutAction.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:53:51 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 5796
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:53:52 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:53:55 +0900] "POST /AFO1/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:53:55 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 6049
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:53:57 +0900] "GET /AFO1/bbs_collection.jsp HTTP/1.1" 200 5271
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:53:58 +0900] "GET /AFO1/bbs_webtoon.jsp HTTP/1.1" 200 9900
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:54:06 +0900] "GET /AFO1/write_webtoon.jsp HTTP/1.1" 200 6028
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:54:06 +0900] "GET /AFO1/css/bootstrap.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:54:12 +0900] "POST /AFO1/writeAction_webtoon.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:54:12 +0900] "GET /AFO1/bbs_webtoon.jsp HTTP/1.1" 200 10602
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:54:15 +0900] "GET /AFO1/view.jsp?bbsID=57 HTTP/1.1" 200 8231
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:54:21 +0900] "POST /AFO1/submitAction.jsp?bbsID=57 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:54:21 +0900] "GET /AFO1/view.jsp?bbsID=57 HTTP/1.1" 200 9289
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:54:27 +0900] "GET /AFO1/logoutAction.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:54:27 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 5796
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:54:28 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 1970
